Token	Tag
language	Eng
before	Eng
1968	Num
Sad	Eng
fact	Eng
:	Punct
some	Eng
immigrants	Eng
felt	Eng
that	Eng
to	Eng
assimilate	Eng
was	Eng
to	Eng
forget	Eng
their	Eng
customs	Eng
.	Punct
Chicanos	Spn
were	Eng
forced	Eng
to	Eng
forget	Eng
their	Eng
language	Eng
before	Eng
1968	Num
no	Spn
sabo	Spn
kids	Eng
just	Eng
take	Eng
the	Eng
word	Eng
imagine	Eng
it	Eng
in	Eng
english	Eng
and	Eng
add	Eng
spanish	Eng
to	Eng
it	Eng
💀	Punct
Why	Eng
Latino	Spn
like	Eng
to	Eng
make	Eng
fun	Eng
of	Eng
other	Eng
Latino	Spn
for	Eng
not	Eng
speaking	Eng
Spanish	Eng
?	Punct
🤔	Punct
I	Eng
just	Eng
realized	Eng
I	Eng
’	Punct
m	Eng
a	Eng
no	Spn
Sabo	Spn
adult	Eng
🥺	Punct
I	Eng
thought	Eng
my	Eng
Spanish	Eng
was	Eng
pretty	Eng
good	Eng
but	Eng
I	Eng
do	Eng
say	Eng
“	Punct
cómo	Spn
se	Spn
dice	Spn
”	Punct
a	Eng
lot	Eng
😂	Punct
im	Eng
a	Eng
sabo	Spn
kid	Eng
🥴	Punct
oh	Eng
my	Eng
mompractice	Eng
Spanish	Eng
*	Punct
me	Spn
like	Eng
*	Punct
@	Punct
notwilldania	Spn
Me	Spn
be	Eng
like	Eng
:	Punct
Ik	Eng
that	Eng
but	Eng
it	Eng
’	Punct
s	Eng
not	Eng
There	Eng
fault	Eng
they	Eng
can	Eng
’	Punct
t	Eng
say	Eng
words	Eng
(	Punct
also	Eng
while	Eng
writing	Eng
this	Eng
I	Eng
couldn	Eng
’	Punct
t	Eng
stop	Eng
laughing	Eng
)	Punct
Like	Eng
barking	Eng
😭	Punct
😭	Punct
BRO	Spn
MY	Eng
BFF	Eng
IN	Eng
A	Eng
NO	Spn
SABO	Spn
KID	Eng
AND	Eng
IM	Eng
A	Eng
WHITE	Eng
KID	Eng
AND	Eng
I	Eng
KNOW	Eng
MORE	Eng
SPAINISH	Eng
-	Punct
THE	Eng
DOG	Eng
😭	Punct
😭	Punct
@	Punct
elkd04	Spn
THIS	Eng
IS	Eng
ABOUT	Eng
TO	Eng
BE	Eng
JEFFREY	Eng
LMAOO	Eng
Do	Eng
that	Eng
@	Punct
giancxrxo	Eng
u	Eng
That	Eng
moment	Eng
when	Eng
you	Eng
can	Eng
’	Punct
t	Eng
speak	Eng
Spanish	Eng
and	Eng
English	Eng
correctly	Eng
I	Eng
’	Punct
m	Eng
sorry	Eng
I	Eng
mean	Eng
✨	Punct
ppppPerron	Spn
✨	Punct
The	Eng
dog	Eng
:	Punct
GWHaT	Eng
dA	Spn
FaQ	Eng
I	Eng
be	Eng
saying	Eng
barkiando	Spn
😭	Punct
😂	Punct
I	Eng
’	Punct
m	Eng
weak	Eng
@	Punct
d34dgirl1	Spn
me	Spn
lmfaooo	Eng
I	Eng
only	Eng
know	Eng
:	Punct
Puta	Spn
No	Spn
hablo	Spn
espanol	Spn
uno	Spn
dos	Spn
tres	Spn
quatro	Spn
sinco	Spn
siese	Spn
siete	Spn
ocho	Spn
nueve	Spn
diaz	Spn
.	Punct
I	Eng
dont	Eng
think	Eng
is	Eng
spelled	Eng
those	Eng
right	Eng
no	Spn
disrespect	Eng
@	Punct
nat30sccl	Eng
u	Eng
know	Eng
who	Eng
?	Punct
@	Punct
r1co1	Spn
your	Eng
brother	Eng
@	Punct
emilysierra1010	Spn
why	Eng
did	Eng
I	Eng
think	Eng
of	Eng
Danny	Eng
😭	Punct
@	Punct
vivian	Spn
.	Punct
bruh	Eng
you	Eng
said	Eng
barkeando	Spn
😂	Punct
😂	Punct
😂	Punct
Who	Eng
else	Eng
thought	Eng
Embarazado	Spn
meant	Eng
embarrassed	Eng
when	Eng
they	Eng
were	Eng
little	Eng
This	Eng
is	Eng
too	Eng
good	Eng
😭	Punct
😭	Punct
BUENAS	Spn
NALGAS	Spn
The	Eng
way	Eng
he	Eng
asked	Eng
for	Eng
money	Eng
in	Eng
Spanish	Eng
fluently	Eng
“	Punct
ah	Eng
no	Spn
que	Spn
no	Spn
sabias	Spn
español	Spn
”	Punct
This	Eng
is	Eng
funny	Eng
😂	Punct
Him	Eng
in	Eng
9	Num
months	Eng
:	Punct
🤰	Punct
this	Eng
is	Eng
so	Eng
funny	Eng
😂	Punct
😂	Punct
😂	Punct
Why	Eng
nobody	Eng
talking	Eng
bout	Eng
his	Eng
first	Eng
line	Eng
“	Punct
buenas	Spn
nalgas	Spn
”	Punct
😂	Punct
😂	Punct
😂	Punct
why	Eng
was	Eng
he	Eng
lowkey	Eng
excited	Eng
abajo	Spn
😳	Punct
so	Eng
we	Eng
just	Eng
ignoring	Eng
the	Eng
fact	Eng
that	Eng
he	Eng
said	Eng
"Punct	O	N/A	N/A	N/A	N/A
buenos	Spn	O	18.33	55.86	-2.38	53.48
nalgas	Spn	O	20.64	37.42	-1.01	36.410000000000004"	Punct
and	Eng
that	Eng
she	Eng
responded	Eng
"Punct	O	N/A	N/A	N/A	N/A
muchas	Spn	O	39.65	57.23	-2.38	54.849999999999994
gracias	Spn	O	29.81	60.45	-1.01	59.440000000000005"	Punct
LMAO	Spn
SHE	Eng
SAID	Eng
THANK	Eng
YOU	Eng
Umm	Eng
he	Eng
played	Eng
the	Eng
role	Eng
a	Eng
little	Eng
to	Eng
good	Eng
😳	Punct
😳	Punct
😳	Punct
I	Eng
used	Eng
to	Eng
think	Eng
embarazado	Spn
meant	Eng
embarrassed	Eng
when	Eng
i	Eng
was	Eng
little	Eng
💀	Punct
where	Eng
you	Eng
get	Eng
that	Eng
hat	Eng
tho	Eng
?	Punct
shits	Eng
clean	Eng
nah	Eng
cuz	Spn
why	Eng
did	Eng
I	Eng
think	Eng
embarrassed	Eng
in	Eng
Spanish	Eng
was	Eng
embarazado	Spn
💀	Punct
I	Eng
was	Eng
looking	Eng
at	Eng
sum	Eng
else	Eng
😳	Punct
😂	Punct
Second	Eng
Andy	Eng
looks	Eng
Arabic	Eng
The	Eng
buenas	Spn
nalgas	Spn
always	Eng
gets	Eng
me	Spn
bouenas	Spn
nalgas	Spn
senorA	Spn
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
had	Eng
me	Eng
diying	Eng
laughing	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
👹	Punct
😂	Punct
😂	Punct
the	Eng
clumsy	Eng
attempt	Eng
of	Eng
humans	Eng
is	Eng
beat	Eng
by	Eng
the	Eng
precision	Eng
of	Eng
nature	Eng
once	Eng
again	Eng
I	Eng
can	Eng
’	Punct
t	Eng
stop	Eng
looking	Eng
at	Eng
the	Eng
little	Eng
cow	Eng
in	Eng
the	Eng
back	Eng
I	Eng
feel	Eng
like	Eng
every	Eng
kid	Eng
said	Eng
they	Eng
were	Eng
embarazado	Spn
at	Eng
least	Eng
once	Eng
in	Eng
thier	Eng
life	Eng
😅	Punct
ayooo	Eng
😳	Punct
😂	Punct
😂	Punct
Why	Eng
no	Spn
one	Eng
talk	Eng
about	Eng
how	Eng
she	Eng
said	Eng
thank	Eng
you	Eng
after	Eng
he	Eng
said	Eng
“	Punct
buenas	Spn
nalgas	Spn
”	Punct
Bro	Spn
ash	Eng
@	Punct
gisellee051	Spn
🤣	Punct
@	Punct
david8224	Spn
look	Eng
at	Eng
all	Eng
the	Eng
ones	Eng
he	Eng
made	Eng
bruh	Eng
😂	Punct
😂	Punct
Buenas	Spn
nalgas	Spn
senora	Spn
😂	Punct
😂	Punct
that	Eng
is	Eng
how	Eng
I	Eng
shall	Eng
say	Eng
it	Eng
from	Eng
now	Eng
on	Eng
.	Punct
buenas	Spn
nalgas	Spn
LMFAO	Spn
!	Punct
!	Punct
!	Punct
🤣	Punct
🤣	Punct
🤣	Punct
🤣	Punct
sounds	Eng
close	Eng
enough	Eng
to	Eng
me	Spn
bro	Spn
carrying	Eng
tik	Eng
tok	Eng
rn	Eng
😂	Punct
soy	Spn
embarrassed	Eng
Omg	Eng
not	Eng
the	Eng
tanga	Spn
LMAOOOO	Spn
“	Punct
BUENAS	Spn
NALGAS	Spn
”	Punct
and	Eng
THEN	Eng
SHE	Eng
SAID	Eng
“	Punct
Ay	Spn
gracias	Spn
”	Punct
😂	Punct
😂	Punct
😂	Punct
LMAOOO	Spn
@	Punct
dxniyay	Eng
@	Punct
minionsyesplease	Eng
@	Punct
toenality	Eng
GOD	Eng
DAMN	Eng
💀	Punct
No	Spn
Harry	Eng
Potter	Eng
going	Eng
to	Eng
the	Eng
taco	Spn
truck	Eng
😂	Punct
😂	Punct
@	Punct
jasmin	Eng
.	Punct
vilchis	Eng
me	Eng
right	Eng
there	Eng
😂	Punct
@	Punct
joe_	Eng
.	Punct
382	Num
LMAO	Spn
@	Punct
ms	Eng
.	Punct
chancla	Spn
@	Punct
llen1010	Spn
Leni	Spn
in	Eng
the	Eng
future	Eng
@	Punct
marialovestrippie	Eng
😭	Punct
😭	Punct
@	Punct
internetlock	Eng
is	Eng
this	Eng
u	Eng
?	Punct
🙄	Punct
@	Punct
sergtheramos	Spn
@	Punct
whoopsorry	Eng
she	Eng
said	Eng
“	Punct
ay	Spn
gracias	Spn
”	Punct
💀	Punct
😭	Punct
@	Punct
wtffvivii	Eng
looks	Eng
like	Eng
Hernan	Eng
U	Eng
my	Eng
long	Eng
lost	Eng
brother	Eng
@	Punct
adamari_162	Spn
LMAOOOOO	Spn
Lmaoooo	Spn
@	Punct
jesaiah7	Spn
buenas	Spn
nalgas	Spn
.	Punct
😂	Punct
😂	Punct
@	Punct
inpersonated	Eng
😭	Punct
😳	Punct
@	Punct
fernando_thebois	Spn
@	Punct
kingflores320	Eng
@	Punct
xx_xx26	Spn
HAHAHA	Spn
🤪	Punct
requema	Spn
cuh	Eng
😬	Punct
@	Punct
mac8asm2	Spn
😂	Punct
😂	Punct
@	Punct
sunnycloudy	Eng
u	Eng
😂	Punct
😅	Punct
😅	Punct
😅	Punct
@	Punct
Tay	Eng
💓	Punct
you	Eng
😅	Punct
@	Punct
vanesssa	Spn
.	Punct
777	Num
you	Eng
🤣	Punct
🤣	Punct
😂	Punct
😂	Punct
THE	Eng
TACOBELL	Eng
AS	Eng
SALSA	Spn
Y	Spn
DOSEND	Eng
KNOW	Eng
😂	Punct
😂	Punct
@	Punct
andrearea_0	Eng
abraham	Eng
😭	Punct
Me	Eng
translating	Eng
legal	Eng
documents	Eng
to	Eng
my	Eng
dad	Eng
Him	Eng
-	Punct
he	Eng
will	Eng
give	Eng
you	Eng
permission	Eng
“	Punct
QUE	Spn
TO	Eng
QUE	Spn
”	Punct
-	Punct
🤨	Punct
😭	Punct
😂	Punct
”	Punct
They	Eng
also	Eng
want	Eng
you	Eng
”	Punct
🤣	Punct
🤣	Punct
In	Eng
his	Eng
defense	Eng
translating	Eng
is	Eng
hard	Eng
At	Eng
least	Eng
hes	Eng
trying	Eng
because	Eng
a	Eng
lot	Eng
of	Eng
kids	Eng
wont	Eng
even	Eng
try	Eng
I	Eng
laughed	Eng
so	Eng
hard	Eng
when	Eng
he	Eng
said	Eng
“	Punct
and	Eng
he	Eng
want	Eng
you	Eng
”	Punct
😂	Punct
😂	Punct
the	Eng
no	Spn
Sabo	Spn
kid	Eng
is	Eng
grammatically	Eng
correct	Eng
😂	Punct
“	Punct
And	Eng
we	Eng
also	Eng
want	Eng
you	Eng
”	Punct
lmaoo	Eng
this	Eng
gave	Eng
me	Eng
flashbacks	Eng
when	Eng
I	Eng
used	Eng
to	Eng
translate	Eng
for	Eng
my	Eng
parents	Eng
🤣	Punct
“	Punct
So	Eng
you	Eng
can	Eng
take	Eng
care	Eng
of	Eng
her	Eng
much	Eng
…	Punct
super	Eng
much	Eng
…	Punct
.	Punct
and	Eng
we	Eng
want	Eng
you	Eng
…	Punct
…	Punct
and	Eng
we	Eng
also	Eng
want	Eng
you	Eng
”	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
im	Eng
dying	Eng
bruh	Eng
😂	Punct
😂	Punct
😂	Punct
he	Eng
so	Eng
cute	Eng
atleast	Eng
he	Eng
tried	Eng
.	Punct
I	Eng
mean	Eng
he	Eng
'	Punct
s	Eng
not	Eng
wrong	Eng
on	Eng
the	Eng
translation	Eng
lol	Eng
"Punct	O	N/A	N/A	N/A	N/A
lo	Spn	O	19.44	42.92	-2.38	40.54
queremos	Spn	O	18.42	69.93	-1.01	68.92
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
el	Spn	O	19.84	42.02	-1.01	41.010000000000005"	Punct
he	Eng
wants	Eng
you	Eng
too	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
“	Punct
Super	Eng
much	Eng
”	Punct
😭	Punct
No	Spn
because	Eng
i	Eng
know	Eng
his	Eng
heart	Eng
was	Eng
going	Eng
PEATER	Eng
PATTER	Eng
PEATER	Eng
PATTER	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
@	Punct
lix1ta	Spn
“	Punct
they	Eng
also	Eng
want	Eng
you	Eng
…	Punct
right	Eng
?	Punct
”	Punct
😭	Punct
😭	Punct
This	Eng
is	Eng
easy	Eng
to	Eng
translate	Eng
but	Eng
translating	Eng
legal	Eng
documents	Eng
is	Eng
harder	Eng
the	Eng
whole	Eng
family	Eng
getting	Eng
married	Eng
😭	Punct
Why	Eng
is	Eng
no	Spn
one	Eng
talking	Eng
about	Eng
that	Eng
kid	Eng
wanting	Eng
a	Eng
beer	Eng
😂	Punct
“	Punct
take	Eng
care	Eng
of	Eng
her	Eng
super	Eng
much	Eng
“	Punct
Lol	Eng
me	Eng
translating	Eng
🤣	Punct
LMAOM	Eng
ME	Eng
WHEN	Eng
MY	Eng
DAD	Eng
ASK	Eng
ME	Eng
TO	Eng
TRANSLATE	Eng
Dude	Spn
this	Eng
is	Eng
how	Eng
I	Eng
feel	Eng
when	Eng
I	Eng
try	Eng
to	Eng
speak	Eng
Spanish	Eng
for	Eng
too	Eng
long	Eng
lmao	Spn
I	Eng
forget	Eng
words	Eng
&	Punct
translate	Eng
literally	Eng
😂	Punct
lmaooo	Eng
he	Eng
looks	Eng
so	Eng
confused	Eng
😭	Punct
😭	Punct
he	Eng
went	Eng
like	Eng
“	Punct
they	Eng
want	Eng
me	Eng
for	Eng
what	Eng
?	Punct
”	Punct
💀	Punct
@	Punct
lani	Spn
.	Punct
hairstyles	Eng
@	Punct
nayna	Spn
.	Punct
love	Eng
oof	Eng
🤣	Punct
That	Eng
kid	Eng
knows	Eng
more	Eng
than	Eng
any	Eng
child	Eng
i	Eng
know	Eng
😂	Punct
GOOD	Eng
JOB	Eng
MIJOOO	Spn
!	Punct
!	Punct
Bruh	Eng
I	Eng
remember	Eng
too	Eng
😳	Punct
“	Punct
super	Eng
much	Eng
“	Punct
they	Eng
want	Eng
you	Eng
”	Punct
👁	Punct
🫦	Punct
👁	Punct
Bro	Spn
that	Eng
’	Punct
s	Eng
me	Spn
Ima	Spn
.	Punct
Yo	Spn
no	Spn
sabo	Spn
kid	Eng
got	Eng
him	Eng
biting	Eng
his	Eng
nails	Eng
and	Eng
all	Eng
😂	Punct
😂	Punct
SUPER	Eng
MUCH	Eng
lmaoooo	Spn
Dude	Spn
I	Eng
’	Punct
m	Eng
using	Eng
the	Eng
toilet	Eng
🥲	Punct
I	Eng
don	Eng
’	Punct
t	Eng
got	Eng
a	Eng
culo	Spn
y	Spn
’	Punct
all	Eng
stay	Eng
safe	Eng
tho	Eng
🤣	Punct
Just	Eng
pulled	Eng
my	Eng
feet	Eng
into	Eng
my	Eng
blanket	Eng
and	Eng
pulled	Eng
my	Eng
Pantone	Eng
’	Punct
s	Eng
up	Eng
Why	Eng
everything	Eng
so	Eng
DAMM	Eng
FUNNY	Eng
AT	Eng
NIGHT	Eng
It	Eng
already	Eng
did	Eng
😌	Punct
he	Eng
also	Eng
ate	Eng
it	Eng
😌	Punct
😌	Punct
He	Eng
gon	Eng
grab	Eng
my	Eng
huesitos	Spn
😂	Punct
😂	Punct
Bro	Spn
I	Eng
can	Eng
’	Punct
t	Eng
stop	Eng
laughing	Eng
😂	Punct
😂	Punct
😂	Punct
he	Eng
gonna	Eng
find	Eng
gold	Eng
😳	Punct
Man	Eng
what	Eng
culo	Spn
its	Eng
all	Eng
gone	Eng
😭	Punct
I	Eng
hope	Eng
that	Eng
too	Eng
I	Eng
need	Eng
some	Eng
action	Eng
I	Eng
’	Punct
ve	Eng
been	Eng
missing	Eng
it	Eng
Thanks	Eng
I	Eng
hope	Eng
so	Eng
to	Eng
😌	Punct
im	Eng
sorry	Eng
what	Eng
-	Punct
😀	Punct
ok	Eng
and	Eng
may	Eng
la	Spn
llorona	Spn
hide	Eng
in	Eng
your	Eng
closet	Eng
tonight	Eng
Ok	Eng
😏	Punct
i	Eng
do	Eng
to	Eng
ni	Spn
madres	Spn
bro	Spn
i	Eng
ain	Eng
’	Punct
t	Eng
sleeping	Eng
What	Eng
culo	Spn
😭	Punct
i	Eng
look	Eng
like	Eng
a	Eng
tabla	Spn
I	Eng
won	Eng
’	Punct
t	Eng
mind	Eng
because	Eng
…	Punct
hear	Eng
me	Eng
out	Eng
…	Punct
.	Punct
Don	Eng
’	Punct
t	Eng
mess	Eng
around	Eng
like	Eng
that	Eng
wey	Eng
🥲	Punct
im	Eng
on	Eng
my	Eng
period	Eng
but	Eng
if	Eng
he	Eng
wants	Eng
it	Eng
he	Eng
wants	Eng
it	Eng
😁	Punct
I	Eng
don	Eng
’	Punct
t	Eng
have	Eng
a	Eng
culo	Spn
but	Eng
y	Spn
’	Punct
all	Eng
stay	Eng
safe	Eng
out	Eng
there	Eng
tho	Eng
🥰	Punct
I	Eng
don	Eng
’	Punct
t	Eng
have	Eng
a	Eng
culo	Spn
y	Spn
’	Punct
all	Eng
stay	Eng
safe	Eng
tho	Eng
Your	Eng
a	Eng
little	Eng
late	Eng
it	Eng
’	Punct
s	Eng
721	Num
am	Eng
Why	Eng
would	Eng
u	Eng
say	Eng
that	Eng
-	Punct
😂	Punct
Shiiii	Eng
is	Eng
he	Eng
cute	Eng
?	Punct
?	Punct
?	Punct
😩	Punct
I	Eng
HOPE	Eng
I	Eng
am	Eng
the	Eng
cucuy	Eng
yall	Eng
stay	Eng
safe	Eng
though	Eng
𝐛𝐫𝐮𝐡	Eng
𝐢𝐭	Eng
'	Punct
𝐬	Eng
𝟏𝟏	Num
:	Punct
𝟓𝟒	Num
😳	Punct
Hopefully	Eng
😳	Punct
I	Eng
hope	Eng
so	Eng
too	Eng
😏	Punct
Back	Eng
story	Eng
:	Punct
after	Eng
parents	Eng
moved	Eng
from	Eng
Mexico	Spn
they	Eng
saw	Eng
my	Eng
brothers	Eng
struggle	Eng
.	Punct
So	Eng
they	Eng
decided	Eng
not	Eng
to	Eng
teach	Eng
me	Spn
.	Punct
I	Eng
recognize	Eng
that	Eng
and	Eng
I	Eng
’	Punct
m	Eng
practicing	Eng
!	Punct
:	Punct
)	Punct
Chinga	Spn
tu	Spn
madre	Spn
means	Eng
love	Eng
you	Eng
mom	Eng
And	Eng
you	Eng
can	Eng
understand	Eng
it	Eng
perfectly	Eng
but	Eng
cant	Eng
speak	Eng
it	Eng
then	Eng
people	Eng
tell	Eng
you	Eng
you	Eng
'	Punct
re	Eng
not	Eng
a	Eng
real	Eng
Mexican	Spn
for	Eng
not	Eng
speaking	Eng
Spanish	Eng
😭	Punct
Ppl	Eng
that	Eng
were	Eng
no	Spn
sabo	Spn
kids	Eng
growing	Eng
up	Eng
and	Eng
are	Eng
now	Eng
learning	Eng
/	Punct
teaching	Eng
themselves	Eng
rise	Eng
up	Eng
!	Punct
Ain	Eng
’	Punct
t	Eng
no	Spn
hate	Eng
here	Eng
fam	Eng
we	Eng
all	Eng
got	Eng
different	Eng
childhoods	Eng
😤	Punct
Why	Eng
do	Eng
people	Eng
HATE	Eng
no	Spn
sabo	Spn
kids	Eng
?	Punct
Like	Eng
I	Eng
don	Eng
’	Punct
t	Eng
get	Eng
it	Eng
at	Eng
all	Eng
why	Eng
is	Eng
everyone	Eng
just	Eng
assuming	Eng
she	Eng
hasn	Eng
’	Punct
t	Eng
been	Eng
trying	Eng
to	Eng
learn	Eng
.	Punct
she	Eng
’	Punct
s	Eng
just	Eng
saying	Eng
it	Eng
would	Eng
have	Eng
been	Eng
easier	Eng
if	Eng
her	Eng
parents	Eng
taught	Eng
her	Eng
growing	Eng
up	Eng
wE	Eng
tRiEd	Eng
YoU	Eng
sAiD	Eng
u	Eng
DiD	Eng
nOt	Eng
WaNt	Eng
To	Eng
LeArN	Eng
Huh	Eng
?	Punct
I	Eng
'	Punct
ve	Eng
never	Eng
understood	Eng
this	Eng
.	Punct
.	Punct
you	Eng
'	Punct
re	Eng
telling	Eng
me	Eng
you	Eng
didn	Eng
'	Punct
t	Eng
just	Eng
pick	Eng
it	Eng
up	Eng
?	Punct
No	Spn
one	Eng
taught	Eng
me	Eng
I	Eng
just	Eng
learned	Eng
it	Eng
parents	Eng
fumbled	Eng
the	Eng
bag	Eng
thats	Eng
their	Eng
fault	Eng
.	Punct
my	Eng
parents	Eng
didn	Eng
’	Punct
t	Eng
care	Eng
they	Eng
made	Eng
me	Eng
learn	Eng
yo	Spn
parents	Eng
ain	Eng
’	Punct
t	Eng
strict	Eng
And	Eng
they	Eng
have	Eng
the	Eng
audacity	Eng
to	Eng
make	Eng
fun	Eng
of	Eng
us	Eng
for	Eng
trying	Eng
guys	Eng
.	Punct
.	Punct
she	Eng
’	Punct
s	Eng
not	Eng
agreeing	Eng
with	Eng
her	Eng
parents	Eng
.	Punct
she	Eng
’	Punct
s	Eng
just	Eng
saying	Eng
that	Eng
’	Punct
s	Eng
their	Eng
reasoning	Eng
for	Eng
not	Eng
teaching	Eng
her	Eng
Felt	Eng
that	Eng
like	Eng
I	Eng
’	Punct
m	Eng
so	Eng
mad	Eng
my	Eng
mom	Eng
never	Eng
taught	Eng
me	Eng
Spanish	Eng
bc	Eng
now	Eng
it	Eng
’	Punct
s	Eng
such	Eng
a	Eng
disadvantage	Eng
when	Eng
I	Eng
work	Eng
bc	Eng
ppl	Eng
assume	Eng
I	Eng
speak	Eng
Spanish	Eng
Some	Eng
Mexicans	Eng
do	Eng
this	Eng
so	Eng
their	Eng
kids	Eng
don	Eng
’	Punct
t	Eng
go	Eng
through	Eng
racism	Eng
.	Punct
My	Eng
parents	Eng
didn	Eng
’	Punct
t	Eng
care	Eng
and	Eng
my	Eng
first	Eng
job	Eng
out	Eng
of	Eng
college	Eng
paid	Eng
75k	Eng
cause	Eng
I	Eng
’	Punct
m	Eng
bilingual	Eng
.	Punct
My	Eng
grampa	Spn
says	Eng
random	Eng
Spanish	Eng
words	Eng
to	Eng
me	Eng
then	Eng
will	Eng
be	Eng
like	Eng
“	Punct
what	Eng
do	Eng
you	Eng
mean	Eng
you	Eng
don	Eng
’	Punct
t	Eng
know	Eng
what	Eng
it	Eng
means	Eng
”	Punct
like	Eng
dawg	Eng
you	Eng
never	Eng
taught	Eng
me	Eng
💀	Punct
💀	Punct
💀	Punct
People	Eng
acting	Eng
like	Eng
she	Eng
hasnt	Eng
been	Eng
trying	Eng
its	Eng
hard	Eng
to	Eng
learn	Eng
a	Eng
language	Eng
espicially	Eng
when	Eng
you	Eng
dont	Eng
get	Eng
help	Eng
from	Eng
your	Eng
parents	Eng
.	Punct
Mexico	Spn
beach	Eng
trip	Eng
for	Eng
you	Eng
.	Punct
Tequila	Spn
and	Eng
sunshine	Eng
will	Eng
teach	Eng
you	Eng
all	Eng
the	Eng
Spanish	Eng
you	Eng
need	Eng
to	Eng
know	Eng
🔥	Punct
💀	Punct
My	Eng
parents	Eng
spoke	Eng
Spanish	Eng
to	Eng
me	Eng
the	Eng
moment	Eng
I	Eng
was	Eng
born	Eng
I	Eng
struggled	Eng
a	Eng
little	Eng
when	Eng
u	Eng
entered	Eng
school	Eng
but	Eng
sense	Eng
I	Eng
was	Eng
so	Eng
young	Eng
I	Eng
learned	Eng
English	Eng
in	Eng
less	Eng
…	Punct
My	Eng
parents	Eng
taught	Eng
me	Eng
both	Eng
and	Eng
I	Eng
’	Punct
m	Eng
fluent	Eng
in	Eng
English	Eng
and	Eng
Spanish	Eng
:	Punct
)	Punct
)	Punct
i	Eng
told	Eng
my	Eng
little	Eng
cousin	Eng
"Punct	O	N/A	N/A	N/A	N/A
quedate	Spn	O	29.62	51.83	-2.38	49.449999999999996
quieta	Spn	O	23.58	51.93	-1.01	50.92
!	Punct	O	N/A	N/A	N/A	N/A"	Punct
and	Eng
he	Eng
was	Eng
like	Eng
"Punct	O	N/A	N/A	N/A	N/A
IM	Eng	O/ORG	20.85	11.84	-0.8	20.05
A	Eng	O/ORG	39.06	38.09	-0.8	38.260000000000005
BOY	Eng	O/ORG	35.65	23.42	-0.8	34.85"	Punct
🙃	Punct
🙃	Punct
🙃	Punct
